,Price,GDP,RATE_10,URATE,CPI,PPI,HOUSE,SAVE,Index Enterprise Value,Adjusted Price/Earnings ratio,Adjusted Price/Estimated Earnings,BEst Div Yld,Total Debt to Total Equity,Current Market Cap,Profit Margin,SMA_10d,SMA_20d,SMA_60d,EMA_10d,EMA_20d,EMA_60d,MOM_10d,MOM_20d,MOM_60d,RSI_10d,RSI_20d,RSI_60d
2006-11-07,1.7432838678359983,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2112.1243,9.6442,19.7364,1.9466,105.0283,1284884.54,4.0568,,,,,,,,,,,,
2006-11-08,1.7432838678359983,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2122.9425,9.7067,19.8696,1.9357,105.0283,1290784.26,4.0568,,,,,,,,,,,,
2006-11-09,1.7432838678359983,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2116.7542,9.6709,19.796,1.9406,105.0283,1277823.39,4.0568,,,,,,,,,,,,
2006-11-10,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2118.6522,9.6819,19.8196,1.9375,105.0283,1278345.03,4.0568,,,,,,,,,,,,
2006-11-13,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2116.3033,9.6683,19.8379,1.9402,105.0283,1272948.74,4.0568,,,,,,,,,,,,
2006-11-14,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2123.4432,9.7095,19.9114,1.9318,105.0283,1281759.23,4.0568,,,,,,,,,,,,
2006-11-15,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2128.2436,9.7373,19.9702,1.9263,105.0283,1284716.37,4.0568,,,,,,,,,,,,
2006-11-16,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2137.3136,9.7896,20.112,1.9138,105.0283,1293738.18,4.0568,,,,,,,,,,,,
2006-11-17,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2147.6655,9.7822,19.8026,1.9425,101.9684,1290152.21,4.0568,,,,,,,,,,,,
2006-11-20,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2143.9646,9.7613,19.7485,1.9482,101.9684,1288379.9,4.0569,1.7460917592048646,,,1.7460917592048646,,,,,,,,
2006-11-21,1.7472951412200928,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2142.4938,9.7528,19.7331,1.9499,101.9684,1284767.99,4.0569,1.7464928865432738,,,1.7463105559349061,,,0.00401127338409446,,,100.0,,
2006-11-22,1.7658917903900146,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2147.7248,9.783,19.7942,1.9439,101.9684,1288568.31,4.0569,1.7487536787986755,,,1.7498707803812894,,,0.022607922554016335,,,100.0,,
2006-11-24,1.7658917903900146,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2143.3638,9.7581,19.7309,1.9489,101.9684,1284147.24,4.0571,1.7510144710540771,,,1.7527836912919668,,,0.022607922554016335,,,100.0,,
2006-11-27,1.7658917903900146,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2123.5759,9.6438,19.4985,1.9721,101.9684,1267784.41,4.0571,1.7528741359710693,,,1.7551669820370663,,,0.018596649169921875,,,100.0,,
2006-11-28,1.7658917903900146,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2130.6552,9.6847,19.5828,1.9638,101.9684,1273118.75,4.0571,1.7547338008880615,,,1.757116947192148,,,0.018596649169921875,,,100.0,,
2006-11-29,1.7658917903900146,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2143.7651,9.7604,19.7337,1.9485,101.9684,1280532.49,4.0571,1.7565934658050537,,,1.7587123732281238,,,0.018596649169921875,,,100.0,,
2006-11-30,1.7596931457519531,3557633.0,2.1998854,4.5,85.3665911446577,164.6,1570.0,2.7,2141.5037,9.7473,19.7125,1.952,101.9684,1275247.6,4.0571,1.7578332662582397,,,1.7588906955051837,,,0.012398004531860352,,,67.90185455716902,,
2006-12-01,1.7596931457519531,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2135.5262,9.7128,19.6361,1.9593,101.9684,1271574.08,4.0571,1.7590730667114258,,,1.7590365955500509,,,0.012398004531860352,,,67.901854557169,,
2006-12-04,1.7815707921981812,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2135.5251,9.7128,19.6361,1.9593,101.9684,1287350.7,4.0571,1.7625006318092347,,,1.7631337222133472,,,0.03427565097808838,,,86.61806101656879,,
2006-12-05,1.7815707921981812,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2164.5506,9.918,20.3354,1.8885,101.9684,1296031.03,4.0571,1.7659281969070435,1.756009978055954,,1.7664859167560443,1.756009978055954,,0.03427565097808838,,,86.61806101656879,,
2006-12-06,1.7815707921981812,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2168.5551,9.9035,20.0156,1.9189,101.9684,1296919.87,4.0571,1.7693557620048523,1.7579243242740632,,1.7692286213818873,1.7584443413075945,,0.03427565097808838,0.03828692436218284,,86.61806101656879,87.770068443211,
2006-12-07,1.7895925045013428,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2162.085,9.8662,19.949,1.9269,101.9684,1295293,4.0571,1.771725833415985,1.7602397561073304,,1.7729311455854246,1.7614108330403324,,0.023700714111328125,0.04630863666534446,,89.65268297559032,89.5165878788844,
